canonical_form,surface_forms,unit_type,pos,sense_id,meaning_fr,meaning_fr_official,meaning_fr_alt,contexte_en,fr_status,definition_en,occurrences,book_count,dispersion,zipf_need,aoa_component,fr_opacity,sense_surprise,confidence,score_comprehension,score_reuse,score_default,needs_review,recovery_route,recovery_reason,candidate_senses,review_action,pknown_test,aoa_test,cefr_test,zipf_wordfreq_en,zipf_freqzipfus
fifth,fifth,word,n,one-fifth.n.01,cinquième,,,". . . living under bridges . . . . . . if you shat out your ears—if they re-routed your colon to your ears I’d still marry you. . . . uh-huh . . . when do I even—do I wait for the third date to be like: “Just FYI, I shit out of a hole in my belly.” Is that a fifth date thing? Sorry you have to go through all that. Erik resolves to go upstairs, but stops near the top of the staircase when he realizes the girls are talking about him.",pending,one part in five equal parts,1,1,1,0.5,0.5,0.857,1.0,0.0,0.601,0.554,0.577,True,,,fifth.n.01/fifth.n.02/fifth.n.04/one-fifth.n.01,,0.99,5.3585,B1,4.78,4.283
hitch,hitch,word,v,hitchhike.v.01,faire de,,,"Aimee helps bus some more dirty dishes to the kitchen. (Sensing Deirdre’s a bit distressed) Mom, don’t worry about it, it saves me a cab ride—I can hitch a ride with you guys to Penn Station . . . (Descending the stairs) Okay, they’ll come at six . . . but we can change the time if you want . . .",pending,travel by getting free rides from motorists,1,1,1,0.5,0.5,0.846,1.0,0.0,0.6,0.552,0.576,True,,,buck.v.04/hitch.v.01/hitch.v.05/hitchhike.v.01/limp.v.01,,0.99,9.39,,3.42,3.612
cell,cell,word,n,cellular_telephone.n.01,"téléphone portable, portable",téléphone portable,téléphone mobile/portable,"UPSTAIRS: Aimee exits the bathroom, phone in hand. A bit nervous, she make a call. She doesn’t know Erik is in the next room. DOWNSTAIRS: Richard heads to the kitchen. Brigid’s back is to us, her hands on the sink counter. She rings out the towel, appears to be de-stressing, taking a moment for herself. (On her cell) Hey, hi . . . Happy—I know—Happy Thanksgiving— I know, but— || Brigid mouths “Thank you, I love you” into Richard’s ear. They kiss. Their affection for each other triggers something in Erik—embarrassment that Richard needed to take care of him? Nostalgia for his own early romance with Deirdre? The stage picture should subtly highlight Brigid and Richard’s flawed-but-alive connection and a gulf between Erik and Deirdre. Erik decides to go upstairs. Aimee has dialed her cell . . . Hi I need a car . . . yeah, just charge it to my account . . . right, it’s going to a town in PA . . . zip is 18433 . . . Scott Town-ship . . . no case number, take it out of my personal . . . yeah, exactly . . . uh, three—but one of them is in a wheelchair— (To Erik, who has arrived upstairs)",auto_strong,"a hand-held mobile radiotelephone for use in an area divided into small sections, each with its own short-range transmitter/receiver",2,2,2,0.5,0.5,0.8,1.0,0.0,0.606,0.545,0.576,True,,,cell.n.01/cell.n.02/cell.n.03/cell.n.04/cell.n.06/cell.n.07/cellular_telephone.n.01,,0.99,10.0,B1,4.87,4.735
unwind,unwind/unwinds,word,v,relax.v.01,,se détendre,se relaxer/décompresser,"Probably the super’s wife, I haven’t met her yet. (To Erik, who is still staring out the window) Hey, Detective . . . sit down and relax. I wish you had more of a view— Mom . . . || Is it . . . a fancy candle? Yeah, smart-ass, I’ll give you a fancy candle . . . keep walking . . . DOWNSTAIRS: Aimee unwinds with a glass of wine. How’s the law firm, Aimee? Busy. M&A transactions are not a source of joy in my life, so—I’m glad you don’t get cell reception down here, my blackberry needs the rest.",auto_strong,"become less tense, rest, or take one's ease",3,3,3,0.5,0.5,0.765,1.0,0.0,0.61,0.54,0.575,True,,,relax.v.01/relax.v.04/unwind.v.01/unwind.v.02,,0.99,8.42,,3.09,3.118
settle,settled,word,v,fall.v.32,tomber,,,"Yeah, no that’s great. Richard prepares for dinner during the following exchange. He’s listening, but multitasking. I’ll tell you, Rich, save your money now . . . I thought I’d be settled by my age, you know, but man, it never ends . . . mortgage, car payments, internet, our dishwasher just gave out . . . Oh man . . . Yeah, yeah . . .",pending,come as if by falling,1,1,1,0.5,0.5,0.833,1.0,0.0,0.598,0.55,0.574,True,,,decide.v.02/ensconce.v.01/fall.v.32/finalize.v.01/reconcile.v.03/settle.v.01/settle.v.03/settle.v.04/settle.v.07/settle.v.08/settle.v.09/settle.v.10/settle.v.11/settle.v.12/settle.v.13/settle.v.14/settle.v.15/settle.v.16/settle.v.19/settle.v.21/sink.v.04/subside.v.03,,1.0,8.26,B1,4.37,4.623
collect,collects,word,v,collect.v.05,passer,,,"[What’s happening to me? . . . What’s wrong with me? This cannot be happening to me . . . oh God, how could I have gotten that worked up?] DOWNSTAIRS: Erik can’t quite move yet; he clutches a support beam or sits in a chair, taking steady breaths, trying to recover. Alone, Erik collects himself, still unsure of what just transpired. He goes into the kitchen and splashes some water on his face. He can’t quite believe it. He can’t quite grasp it.",pending,gather or collect,1,1,1,0.5,0.5,0.846,0.962,0.0,0.594,0.552,0.573,True,,,collect.v.02/collect.v.04/collect.v.05/gather.v.01/roll_up.v.02,,1.0,5.61,A1,4.37,4.301
shit,Shit/shit,word,v,stool.v.04,merde,,,". . . living under bridges . . . . . . if you shat out your ears—if they re-routed your colon to your ears I’d still marry you. . . . uh-huh . . . when do I even—do I wait for the third date to be like: “Just FYI, I shit out of a hole in my belly.” Is that a fifth date thing? Sorry you have to go through all that. Erik resolves to go upstairs, but stops near the top of the staircase when he realizes the girls are talking about him. || Wow, what is up with you today? UPSTAIRS: The light above the staircase burns out. The only light upstairs now comes from the open bathroom door. Shit, another bulb’s out . . . Oh great . . . welcome to New York, guys . . . It’s just a light bulb . . . we’ll live . . .",pending,have a bowel movement,3,3,3,0.5,0.5,1.0,0.5,0.0,0.571,0.575,0.573,True,,,denounce.v.04/stool.v.04,,0.99,6.53,,5.48,5.676
tooth,teeth,word,n,dentition.n.02,dent,,,"That’s like—I bet she’d appreciate—there’s this comic book called Quasar . . . I was obsessed with it as a kid, / it’s about this— You’re still obsessed with / Quasar, he won’t throw them out . . . Yes I am, be quiet—it’s about this species of like half-alien, half-demon-creatures with teeth on their backs— Oh my God . . . just call —but on their planet— || (To Richard) Thank God he’s in grad school. Yeah, no it makes sense . . . you should meet my boss . . . no teeth on his back, but man . . . But monsters aren’t scared of us, / so why would— Sure they are, it’s always a man driving a stake through the heart of the vampire—or if you’re a zombie, you eat people but your biggest threat is what?—getting killed by an enterprising human, / right?",pending,the kind and number and arrangement of teeth (collectively) in a person or animal,2,2,2,0.5,0.5,0.778,1.0,1.0,0.603,0.542,0.572,True,,,dentition.n.02,,1.0,3.61,A1,4.08,4.133
place,place,word,v,locate.v.03,trouver,,,"Are there even apartments in Scranton? / Who lives in— Of course there are— Hey, getting a place on one level will be good, Mom won’t be climbing stairs—",pending,assign a location to,1,1,1,0.5,0.5,0.833,0.977,0.0,0.594,0.55,0.572,True,,,identify.v.01/invest.v.01/locate.v.03/place.v.02/place.v.05/place.v.06/place.v.09/place.v.11/place.v.12/place.v.15/place.v.16/put.v.01/rate.v.01/set.v.09/station.v.01/target.v.01,,1.0,4.95,B1,5.71,5.779
dig,Dig,word,v,dig.v.02,,creuser,excaver,"Awesome. Beat. They eat. Dig a hole shower. They all laugh at the randomness of the remark. This is definitely not one of your better days, Mom . . . oh man, we, uh . . . we’ll all be there some day, right? . . . / We love you so much, Mom . . .",auto_strong,create by digging,1,1,1,0.5,0.5,1.0,0.643,0.0,0.569,0.575,0.572,True,,,dig.v.01/dig.v.02/dig.v.04/dig.v.05/excavate.v.04/grok.v.01/jab.v.01/labor.v.02,,1.0,4.19,B1,4.22,4.664
straw,straws,word,n,straw.n.04,paille,paille,,"I’ll do it, stay down . . . stay down . . . Are her shakes in the fridge? Yeah—Rich’ll get it, sit down. Rich can you bring out an Ensure shake? The straws are in the bag. No problem. Thanks.",auto_strong,a thin paper or plastic tube used to suck liquids into the mouth,1,1,1,0.5,0.5,0.818,1.0,0.0,0.595,0.548,0.572,True,,,chaff.n.01/pale_yellow.n.01/straw.n.01/straw.n.04,,1.0,4.22,B1,3.99,3.796
praise,praise,word,n,praise.n.02,éloge,,,". . . at least now I know why I’m not even getting interviews for unpaid internships. (Reading) What’s the big deal?—he didn’t praise you enough? Pissed, Brigid grabs her phone. Are you kidding me?",pending,offering words of homage as an act of worship,1,1,1,0.5,0.5,0.818,1.0,0.0,0.595,0.548,0.572,True,,,praise.n.01/praise.n.02,,1.0,7.95,B1,4.31,3.976
trunk,trunk,word,n,luggage_compartment.n.01,coffre,coffre,coffre de voiture,"don’t need a van it’ll fit in the and spoons. trunk, it folds . . . uh-huh . . . a lot cheaper or—? . . . then Deirdre—unseen by anyone—",auto_strong,compartment in an automobile that carries luggage or shopping or tools,1,1,1,0.5,0.5,0.818,1.0,0.0,0.595,0.548,0.572,True,,,luggage_compartment.n.01/proboscis.n.02/torso.n.01/trunk.n.01/trunk.n.02,,0.99,8.3,B2,4.03,4.297
outside,outside,word,a,outdoor.a.01,extérieur,,,"Yeah, well you’ll burn out if you’re / not careful— Hey, hey don’t worry about us—having her at home with us is, until it becomes too much, it’s a blessing, you know . . . right Erik? . . . Erik . . . Erik has been staring out the window again—something outside caught his attention. Dad— / come back to earth . . . Are you okay?",pending,"located, suited for, or taking place in the open air",1,1,1,0.5,0.5,0.875,0.88,0.0,0.586,0.556,0.571,True,,,away.s.02/external.s.01/external.s.02/outdoor.a.01/outside.a.01/outside.s.02/outside.s.03/outside.s.04/outside.s.06/outside.s.07,,1.0,3.578781,B2,5.25,5.23
proceed,proceeds,word,v,proceed.v.04,aller,,,"(Massaging her hand) You wanna go for a ride, Mom? Let’s go for a ride . . . UPSTAIRS: Aimee nurses a cramp before she proceeds to the bathroom. DOWNSTAIRS: Deirdre wheels Momo around the apartment. (To Brigid and Richard, referring to Momo)",pending,follow a certain course,1,1,1,0.5,0.5,0.833,0.938,0.0,0.588,0.55,0.569,True,,,continue.v.01/continue.v.02/go.v.02/proceed.v.02/proceed.v.04,,0.99,8.33,B1,4.18,4.32
glue,glued,word,v,glue.v.02,colle,être collé,rester rivé,"(Looking out the window) Oh. No, I think someone from a higher floor just emptied their ashtray. Richard searches for the paper towels. Erik is glued to the window. DOWNSTAIRS: Deirdre has been helping Momo up and onto the couch. There we go . . . / there we go . . .",auto_corroborated,be fixed as if by glue,1,1,1,0.5,0.5,0.857,0.882,0.0,0.584,0.554,0.569,True,,,glue.v.01/glue.v.02,,0.99,4.67,,3.8,3.77
blend,blend,word,v,blend.v.02,,s'harmoniser,se marier/s'accorder,"sleeping myself . . . Okay, okay . . . All right, let’s just, let’s show Rich how badly our voices blend, / we’ll do the money verses, yeah? . . . I’m excited to hear this . . . Yeah, and FYI, I’ve been",auto_strong,blend or harmonize,1,1,1,0.5,0.5,0.857,0.875,0.0,0.583,0.554,0.568,True,,,blend.v.01/blend.v.02/blend.v.03,,0.99,10.17,B1,3.95,3.632
stock,stocked,word,v,stock.v.06,,approvisionner,pourvoir/garnir,"We got the veggies from this farmer’s market on Essex . . . They’re delicious . . . We’re gonna try and keep our fridge stocked with them, start juicing for breakfast. Cool . . . You guys liking any of the super-foods?",auto_corroborated,provide or furnish with a stock of something,1,1,1,0.5,0.5,0.789,1.0,0.0,0.591,0.543,0.567,True,,,sprout.v.02/stock.v.01/stock.v.02/stock.v.03/stock.v.04/stock.v.05/stock.v.06,,1.0,9.22,B2,4.93,4.406
charge,charge,word,n,charge.n.03,frais,,,"The stage picture should subtly highlight Brigid and Richard’s flawed-but-alive connection and a gulf between Erik and Deirdre. Erik decides to go upstairs. Aimee has dialed her cell . . . Hi I need a car . . . yeah, just charge it to my account . . . right, it’s going to a town in PA . . . zip is 18433 . . . Scott Town-ship . . . no case number, take it out of my personal . . . yeah, exactly . . . uh, three—but one of them is in a wheelchair— (To Erik, who has arrived upstairs) Do you guys need a van for Momo . . . ?—",pending,the price charged for some article or service,1,1,1,0.5,0.5,0.818,0.902,0.0,0.581,0.548,0.564,True,,,accusation.n.02/bang.n.04/care.n.05/cathexis.n.01/charge.n.01/charge.n.02/charge.n.03/charge.n.04/charge.n.07/charge.n.08/charge.n.11/charge.n.14/charge.n.15/commission.n.06/mission.n.03,,1.0,7.5,B1,5.02,4.951
lead,leads,word,v,go.v.25,,mener,donner accès à/conduire,"The apartment’s pre-war features have been coated in layers of faded off-white paint, rendering the space curiously monotone. The rooms are worn, the floors are warped, but clean and well kept. The layout doesn’t adhere to any sensible scheme; the result of a mid-century renovation in which two autonomous apartments were combined. UPSTAIRS: two rooms divided by an open entryway. The room with the staircase also has the apartment’s lone, large deep-set window with bars. The window gets no direct sunlight. An urban recliner is the only piece of furniture upstairs. The other room has a door that leads to the duplex’s sole bathroom. DOWNSTAIRS: two windowless rooms divided by an even larger open entryway—with a different floorplan than upstairs. A small kitchen alley is wedged awkwardly behind the spiral staircase. The other room is dominated by a modest folding table. The table is set with six paper plates and napkins with turkeys on them. Plastic silverware. Scattered moving boxes. Not much else. The apartment is a touch ghostly, but not in a forced manner; empty pre-war basement apartments are effortlessly uncanny.",auto_strong,"lead, extend, or afford access",1,1,1,0.5,0.5,0.778,0.975,0.0,0.586,0.542,0.564,True,,,conduct.v.02/contribute.v.03/go.v.25/head.v.02/lead.v.01/lead.v.03/lead.v.04/lead.v.05/lead.v.08/leave.v.07/moderate.v.01/precede.v.04/run.v.03/run.v.23,,0.99,6.76,B1,5.2,4.92
distressed,distressed,word,a,disquieted.s.01,,inquiet,soucieux/bouleversé,"UPSTAIRS: Richard arrives upstairs, notices Erik staring out the window. You okay? Uh, yeah, just worried about the roads. It’s snowing out there . . . (Looking out the window) Oh. No, I think someone from a higher floor just emptied their ashtray. || Oh man, I can’t believe there’s more food . . . Aimee helps bus some more dirty dishes to the kitchen. (Sensing Deirdre’s a bit distressed) Mom, don’t worry about it, it saves me a cab ride—I can hitch a ride with you guys to Penn Station . . . (Descending the stairs)",auto_strong,afflicted with or marked by anxious uneasiness or trouble or grief,1,1,1,0.5,0.5,0.765,1.0,0.0,0.587,0.54,0.564,True,,,disquieted.s.01/distressed.s.01/dysphoric.a.01/stressed.s.01,,1.0,,,3.57,3.149
flip,flips,word,v,interchange.v.04,interrupteur,,,"—the rumble of the trash compactor strikes up again outside the basement door. In the darkness, it sounds louder than before, more disturbing. The image/sound jolts Erik; he staggers away from the window . . . . . . down the stairs . . . . . . he flips the fuse box switches again to no avail. The rumble continues. Erik heads down the hallway toward the origin of the noise when— —a new kind of thud coming from the basement hallway halts his progress—",pending,"reverse (a direction, attitude, or course of action)",1,1,1,0.5,0.5,0.75,1.0,0.0,0.585,0.537,0.561,True,,,flick.v.02/flip.v.01/flip.v.04/flip.v.05/flip.v.06/flip.v.07/flip.v.08/flip.v.09/flip.v.10/interchange.v.04/throw.v.06,,1.0,5.11,B2,4.2,4.155
pour,pour/pours,word,v,decant.v.01,,verser,décanter/transvaser,"Of course we’re gonna sing it! Rich has been warned. Under the following dialogue, Erik wanders into the adjoining room to grab a private moment for himself; he rubs his aching lower back, takes a deep breath. In the other room, Richard pours champagne into the plastic cups. We only have plastic cups, but the good news is the bar is set very low if we ever host again. We could care less . . . || Cool, cool . . . I tend to be more of a . . . I like to wander off the beaten path . . . No, I hear you . . . Brigid’s the same way . . . Can I [pour you more wine] . . . ? Thanks . . . (Beat)",auto_strong,pour out,2,2,2,0.5,0.5,0.8,0.8,0.0,0.576,0.545,0.561,True,,,decant.v.01/pour.v.01/pour.v.02/pour.v.04/pour.v.05/pour.v.06,,0.99,5.0,A2,4.1,4.179
half,Half/half,word,a,half.s.01,,mi-,demi,"That’s like—I bet she’d appreciate—there’s this comic book called Quasar . . . I was obsessed with it as a kid, / it’s about this— You’re still obsessed with / Quasar, he won’t throw them out . . . Yes I am, be quiet—it’s about this species of like half-alien, half-demon-creatures with teeth on their backs— Oh my God . . . just call —but on their planet— || That’s like—I bet she’d appreciate—there’s this comic book called Quasar . . . I was obsessed with it as a kid, / it’s about this— You’re still obsessed with / Quasar, he won’t throw them out . . . Yes I am, be quiet—it’s about this species of like half-alien, half-demon-creatures with teeth on their backs— Oh my God . . . just call —but on their planet—",auto_strong,consisting of one of two equivalent parts in value or quantity,3,3,2,0.5,0.5,1.0,0.333,0.0,0.546,0.575,0.56,True,,,half.a.03/half.s.01/half.s.02,,1.0,5.454413000000001,A1/A2/B1,5.41,5.299
fire,fire/fired,word,v,displace.v.03,licencier,licencier,renvoyer/congédier,"You know we’d do anything for you, right?— I know, I know . . . I know, I do . . . They can’t fire you because of a medical condition— Well they gave other reasons, obviously, but . . . yeah, you get the sense they support your chronic illness as long as it doesn’t affect your billable hours. I’m really sorry. || [Not important] . . . St. Paul’s let me go, okay, so we’ve had to / tighten our belts and we’re figuring out— Why would they let you go? —that’s not [important]—I’m not getting my pension now, they could fire me before it kicked in, all right / so now— They can take away / your pension—? It’s [complicated]—they’re a private school so / they can do whatever—",auto_strong,terminate the employment of; discharge from an office or position,5,5,5,0.5,0.5,0.667,0.901,0.0,0.594,0.525,0.56,True,,,arouse.v.01/burn.v.01/displace.v.03/fire.v.02/fire.v.03/fire.v.05/fire.v.06/fuel.v.02/open_fire.v.01,,1.0,3.25,B2,5.3,5.333
sheet,sheets,word,n,sheet.n.03,drap,drap,drap de lit,"Yeah . . . but now, yeah, now lean in . . . Erik sits in the window ledge trying to get reception. Brigid looks for toilet paper. The sheets were covered in sweat last night . . . I dunno if he’s having nightmares or what— Has he tried . . . Rich sometimes takes a sleeping pill, I can ask him what kind of / medicine— Oh right like your dad’d ever try any sorta—no, no I bet . . . he’ll sleep better after seeing you guys today, it’ll be good for him . . . || Monsters aren’t real so it’s a weird thing to wanna be right about. That’s probably the soundest argument. Yeah, well that’s not what you thought last night . . . you thought that was pretty real . . . there’s sweat on the sheets to prove it . . . (Smiling) Wow, you can’t let that go, / can you?",auto_strong,bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs,2,2,2,0.5,0.5,0.75,0.885,0.0,0.581,0.537,0.559,True,,,plane.n.02/sail.n.01/sheet.n.01/sheet.n.02/sheet.n.03/sheet.n.06/sheet.n.07/tabloid.n.02,,1.0,5.33,B1,4.4,4.065
darken,darkening,word,v,darken.v.03,,assombrir,rendre plus sombre/obscurcir,"Arms full, he attempts to exit up the narrow spiral staircase when He realizes he’s left the LED lantern lit on the table. He puts his belongings down; turns the lantern off, darkening the basement. This greatly sharpens the shaft of fluorescent hallway light pouring through the propped-open door. It has a tunnel-like quality.",auto_corroborated,make dark or darker,1,1,1,0.5,0.5,0.733,1.0,0.0,0.583,0.535,0.559,True,,,darken.v.01/darken.v.02/darken.v.03,,0.99,6.85,,2.88,2.614
blind,blinds,word,n,blind.n.03,store,store,écran/paravent,"DOWNSTAIRS: Deirdre has been helping Momo up and onto the couch. There we go . . . / there we go . . . Hey make sure you get blinds up, will you? You don’t want people looking in on you . . . Yeah, no I’m on it, this week I’ll put some up. Richard descends the staircase with the paper towels.",auto_strong,a protective covering that keeps things out or hinders sight,1,1,1,0.5,0.5,0.8,0.857,0.0,0.571,0.545,0.558,True,,,blind.n.01/blind.n.02/blind.n.03/subterfuge.n.01,,1.0,7.0,B1,4.52,4.661
tend,Tending,word,v,tend.v.02,,s'occuper de,soigner/veiller sur,"(Clearing plates) . . . you done, Mom? (Tending to Momo) The, uh . . . I should say the Yeah, I’m full . . .",auto_strong,have care of or look after,1,1,1,0.5,0.5,0.75,0.952,0.0,0.578,0.537,0.558,True,,,tend.v.01/tend.v.02/tend.v.03,,1.0,9.79,B1,4.57,4.089
upset,upset,word,v,upset.v.02,,vexer,déranger/contrarier,"sure it was just a cockroach— I have nothing to stand on . . . someone give me something to stand on . . . It was an American cockroach, they’re huge / okay?—don’t get so upset— Ewwwww . . . A cockroach the size of a mouse is upsetting! || —no I got it, I got it . . . keep eating guys . . . Erik wheels Momo back to the couch, gets her settled there. Where’s your family, Rich? They upset we stole you away? Oh, they’re good, thanks. My dad’s in L.A. and my mom’s on the Cape now. What cape?",validated,cause to lose one's composure,2,2,2,0.5,0.5,0.8,0.75,0.0,0.569,0.545,0.557,True,,,disturb.v.01/overturn.v.02/swage.v.01/upset.v.01/upset.v.02/upset.v.06,,1.0,5.26,B2,4.61,4.872
knock,Knocking/knocks,word,v,knock.v.02,,frapper,toquer,". . . [no, nothing important] . . . you know the ones where you need a minute just to . . . figure out it isn’t / actually [real] . . . Oh, sure— Knocking at the downstairs door startles Erik a bit—he spills his beer. Richard moves to help— Sorry about that, Rich, I got it, I got it . . . Don’t worry about it— || You like your classes? I do, yeah, very much . . . UPSTAIRS: Brigid knocks on the bathroom door. You need anything? (Offstage)",auto_strong,rap with the knuckles,3,3,3,0.5,0.5,0.818,0.647,0.0,0.565,0.548,0.557,True,,,bump.v.01/knock.v.01/knock.v.02/knock.v.06/pink.v.02/tap.v.07,,1.0,4.63,B1,4.35,4.81
